"filename", "language", "Vue", "JavaScript", "SCSS", "comment", "blank", "total"
"d:\examples\blog\frontend\src\App.vue", "Vue", 28, 0, 0, 3, 5, 36
"d:\examples\blog\frontend\src\api\common\category.js", "JavaScript", 0, 19, 0, 12, 13, 44
"d:\examples\blog\frontend\src\api\common\tag.js", "JavaScript", 0, 12, 0, 9, 10, 31
"d:\examples\blog\frontend\src\api\post\authorAnalytics.js", "JavaScript", 0, 4, 0, 1, 2, 7
"d:\examples\blog\frontend\src\api\post\comment.js", "JavaScript", 0, 14, 0, 10, 11, 35
"d:\examples\blog\frontend\src\api\post\export.js", "JavaScript", 0, 6, 0, 2, 3, 11
"d:\examples\blog\frontend\src\api\post\favorite.js", "JavaScript", 0, 17, 0, 11, 12, 40
"d:\examples\blog\frontend\src\api\post\post.js", "JavaScript", 0, 38, 0, 23, 26, 87
"d:\examples\blog\frontend\src\api\post\postVersion.js", "JavaScript", 0, 13, 0, 7, 8, 28
"d:\examples\blog\frontend\src\api\post\recommendation.js", "JavaScript", 0, 8, 0, 2, 3, 13
"d:\examples\blog\frontend\src\api\post\report.js", "JavaScript", 0, 19, 0, 12, 13, 44
"d:\examples\blog\frontend\src\api\user\message.js", "JavaScript", 0, 23, 0, 13, 14, 50
"d:\examples\blog\frontend\src\api\user\permission.js", "JavaScript", 0, 15, 0, 8, 9, 32
"d:\examples\blog\frontend\src\api\user\role.js", "JavaScript", 0, 16, 0, 11, 12, 39
"d:\examples\blog\frontend\src\api\user\rolePermission.js", "JavaScript", 0, 17, 0, 9, 10, 36
"d:\examples\blog\frontend\src\api\user\security\captcha.js", "JavaScript", 0, 30, 0, 6, 4, 40
"d:\examples\blog\frontend\src\api\user\security\emailVerification.js", "JavaScript", 0, 13, 0, 2, 3, 18
"d:\examples\blog\frontend\src\api\user\user.js", "JavaScript", 0, 31, 0, 16, 18, 65
"d:\examples\blog\frontend\src\api\user\userActivity.js", "JavaScript", 0, 21, 0, 11, 12, 44
"d:\examples\blog\frontend\src\api\user\userRole.js", "JavaScript", 0, 13, 0, 7, 8, 28
"d:\examples\blog\frontend\src\api\user\userSetting.js", "JavaScript", 0, 10, 0, 7, 8, 25
"d:\examples\blog\frontend\src\assets\main.scss", "SCSS", 0, 0, 16, 1, 3, 20
"d:\examples\blog\frontend\src\components\BreadCrumb.vue", "Vue", 64, 0, 0, 6, 11, 81
"d:\examples\blog\frontend\src\components\PageContainer.vue", "Vue", 204, 0, 0, 13, 36, 253
"d:\examples\blog\frontend\src\constants\api-constants.js", "JavaScript", 0, 17, 0, 3, 3, 23
"d:\examples\blog\frontend\src\constants\role-constants.js", "JavaScript", 0, 20, 0, 1, 1, 22
"d:\examples\blog\frontend\src\constants\routes-constants.js", "JavaScript", 0, 3, 0, 70, 18, 91
"d:\examples\blog\frontend\src\constants\routes\admin.js", "JavaScript", 0, 19, 0, 5, 5, 29
"d:\examples\blog\frontend\src\constants\routes\base.js", "JavaScript", 0, 3, 0, 1, 0, 4
"d:\examples\blog\frontend\src\constants\routes\user.js", "JavaScript", 0, 15, 0, 4, 4, 23
"d:\examples\blog\frontend\src\directives\permission.js", "JavaScript", 0, 15, 0, 1, 3, 19
"d:\examples\blog\frontend\src\main.js", "JavaScript", 0, 15, 0, 1, 13, 29
"d:\examples\blog\frontend\src\router\index.js", "JavaScript", 0, 93, 0, 32, 14, 139
"d:\examples\blog\frontend\src\router\modules\admin.js", "JavaScript", 0, 215, 0, 19, 2, 236
"d:\examples\blog\frontend\src\router\modules\auth.js", "JavaScript", 0, 10, 0, 1, 1, 12
"d:\examples\blog\frontend\src\router\modules\user.js", "JavaScript", 0, 160, 0, 16, 1, 177
"d:\examples\blog\frontend\src\stores\index.js", "JavaScript", 0, 6, 0, 0, 4, 10
"d:\examples\blog\frontend\src\stores\modules\user.js", "JavaScript", 0, 75, 0, 6, 6, 87
"d:\examples\blog\frontend\src\utils\date.js", "JavaScript", 0, 18, 0, 11, 6, 35
"d:\examples\blog\frontend\src\utils\format.js", "JavaScript", 0, 2, 0, 0, 2, 4
"d:\examples\blog\frontend\src\utils\jwt.js", "JavaScript", 0, 15, 0, 0, 1, 16
"d:\examples\blog\frontend\src\utils\request.js", "JavaScript", 0, 42, 0, 5, 8, 55
"d:\examples\blog\frontend\src\views\category\CategoryManage.vue", "Vue", 5, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\comment\admin\CommentManage.vue", "Vue", 7, 0, 0, 0, 3, 10
"d:\examples\blog\frontend\src\views\comment\user\CommentManage.vue", "Vue", 243, 0, 0, 17, 37, 297
"d:\examples\blog\frontend\src\views\favorite\admin\FavoriteManage.vue", "Vue", 7, 0, 0, 0, 3, 10
"d:\examples\blog\frontend\src\views\favorite\user\FavoriteManage.vue", "Vue", 5, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\layout\ControlLayout.vue", "Vue", 470, 0, 0, 65, 56, 591
"d:\examples\blog\frontend\src\views\layout\ControlPanel.vue", "Vue", 5, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\layout\RoleLayout.vue", "Vue", 6, 0, 0, 0, 3, 9
"d:\examples\blog\frontend\src\views\layout\SystemLayout.vue", "Vue", 5, 0, 0, 0, 2, 7
"d:\examples\blog\frontend\src\views\layout\UserLayout.vue", "Vue", 5, 0, 0, 0, 2, 7
"d:\examples\blog\frontend\src\views\layout\user\PostLayout.vue", "Vue", 5, 0, 0, 0, 2, 7
"d:\examples\blog\frontend\src\views\like\admin\LikeManage.vue", "Vue", 7, 0, 0, 0, 3, 10
"d:\examples\blog\frontend\src\views\login\LoginPage.vue", "Vue", 493, 0, 0, 100, 50, 643
"d:\examples\blog\frontend\src\views\message\admin\MessageManage.vue", "Vue", 7, 0, 0, 0, 3, 10
"d:\examples\blog\frontend\src\views\message\user\MessageManage.vue", "Vue", 5, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\permission\PermissionManage.vue", "Vue", 5, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\post\CategoryManage.vue", "Vue", 72, 0, 0, 2, 12, 86
"d:\examples\blog\frontend\src\views\post\PostLayout.vue", "Vue", 5, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\post\PostManage.vue", "Vue", 132, 0, 0, 27, 16, 175
"d:\examples\blog\frontend\src\views\post\admin\PostManage.vue", "Vue", 7, 0, 0, 0, 3, 10
"d:\examples\blog\frontend\src\views\post\admin\PostVersionManage.vue", "Vue", 7, 0, 0, 0, 3, 10
"d:\examples\blog\frontend\src\views\post\components\CategoryEdit.vue", "Vue", 69, 0, 0, 15, 7, 91
"d:\examples\blog\frontend\src\views\post\components\CategorySelect.vue", "Vue", 31, 0, 0, 5, 6, 42
"d:\examples\blog\frontend\src\views\post\components\PostEdit.vue", "Vue", 154, 0, 0, 28, 19, 201
"d:\examples\blog\frontend\src\views\post\user\CommentManage.vue", "Vue", 5, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\post\user\PostAttachmentManage.vue", "Vue", 5, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\post\user\PostEdit.vue", "Vue", 5, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\post\user\PostList.vue", "Vue", 5, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\post\user\PostVersionManage.vue", "Vue", 5, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\report\user\ReportManage.vue", "Vue", 5, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\role\RoleManage.vue", "Vue", 5, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\role\RolePermissionManage.vue", "Vue", 5, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\tag\TagManage.vue", "Vue", 5, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\user\UserAvatar.vue", "Vue", 82, 0, 0, 5, 6, 93
"d:\examples\blog\frontend\src\views\user\UserBehaviorManage.vue", "Vue", 243, 0, 0, 17, 37, 297
"d:\examples\blog\frontend\src\views\user\UserPassword.vue", "Vue", 98, 0, 0, 6, 5, 109
"d:\examples\blog\frontend\src\views\user\UserProfile.vue", "Vue", 59, 0, 0, 0, 5, 64
"d:\examples\blog\frontend\src\views\user\UserRoleManage.vue", "Vue", 243, 0, 0, 17, 37, 297
"d:\examples\blog\frontend\src\views\user\UserSetting.vue", "Vue", 243, 0, 0, 17, 37, 297
"d:\examples\blog\frontend\src\views\user\admin\UserManage.vue", "Vue", 7, 0, 0, 0, 3, 10
"d:\examples\blog\frontend\src\views\user\admin\UserSettingManage.vue", "Vue", 7, 0, 0, 0, 3, 10
"Total", "-", 3080, 1082, 16, 699, 754, 5631